,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
10834,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,74700,10585,,,0
10973,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,75600,10585,,,0
11075,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,76500,10585,,,0
11218,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,77400,10589,,,0
11361,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,78300,10589,,,0
11509,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,79200,10589,,,0
11601,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,80100,10589,,,0
11745,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,81000,10589,,,0
11884,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,81900,10589,,,0
12029,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,82800,10589,,,0
12126,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,83700,10589,,,0
12269,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,84600,10589,,,0
12418,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,ddfuzz-128kb-24h,ddfuzz128kb,curl_curl_fuzzer_http,2024-04-04 23:55:13.068500,2024-04-06 00:05:30.643160,1,85500,10589,,,0
